cust_id,count_accts,cm_age,flag_top_ed_spender,flag_cust_fee_paid_6m,pre6m_cust_spend,pre6m_cust_roc_cnt,pre6m_cust_non_disc_amt,pre6m_cust_non_disc_cnt,pre6m_cust_disc_amt,pre6m_cust_disc_cnt,pre6m_cust_outbound_amt,pre6m_cust_online_amt,pre6m_cust_online_cnt,pre6m_cust_travel_amt,pre6m_cust_travel_cnt,pre6m_cust_retail_amt,pre6m_cust_retail_cnt,pre6m_cust_myca_active,pre6m_cust_mob_logins,pre6m_total_mc_trs,acq_sub_chn,acq_type_grp,fee_type_grp,Cust_tenure,pre6m_spend_active_ind,highly_utilized_ind,min_pay_ind,paid_in_full_ind,sum_total_line_amt,direct_debit_ind,referrals,spillover,self_accts,Customer Low Quality indicator,cdss_most_rcnt_prob,cust_max_credit_12m_amt,cust_max_remit_12m_amt,cbr_3_score,cnsumr_chrg_actv_cust_cnt,cnsumr_chrg_avg_credit_12m_amt,cnsumr_lend_actv_cust_cnt,cnsumr_lend_tot_util_ratio,sow_revol_avg_paydown_pct,sow_tot_annual_ext_pmt_amt,sow_tot_revol_bal_amt,sow_tot_revol_cnt,sow_tot_trans_bal_amt,sow_tot_trans_cnt
571310,1,37,0,0, (671),442, 640 ,36," (1,312)",406," 3,160 "," (5,260)",548," 5,824 ",180," 1,135 ",124,9,248," 1,001 ",Unreferred,external,no_fee,51,1,1,0,0," 130,000 ",1,0,0,0,0,0.004," 13,925 "," 7,645 ",1049,0, -   ,1,0.360456,0, -   , -   ,0, -   ,0
571311,1,84,0,0," 1,708 ",54, 496 ,30," 1,213 ",24, 419 , 684 ,8, 395 ,2, 547 ,26,0,0, (28),MGM,external,reduced_fee,4,1,0,0,1," 13,333 ",1,0,0,0,0,0, 394 , 394 ,1300,0, -   ,1,0.064915,0, -   , -   ,0, -   ,0
571312,2,37,0,0," 1,535 ",202, 850 ,48, 685 ,154, 62 , 184 ,28, 193 ,52, 827 ,46,0,0, (27),Unreferred,external,no_fee,93,1,0,0,1," 24,000 ",1,0,0,0,0,0, 693 , 656 ,1232,0, -   ,2,0.050692,0, -   , -   ,0, -   ,0
571313,1,33,1,0," 4,649 ",708, 896 ,218," 3,754 ",490," 1,237 "," 2,053 ",164," 2,567 ",264," 1,161 ",282,5,9, 38 ,MGM,external,no_fee,53,1,0,0,1," 20,000 ",1,0,0,0,0,0," 2,438 "," 2,436 ",1346,0, -   ,1,0.194272,0," 1,773 ", -   ,0, 83 ,2
571314,1,34,1,0," 1,708 ",686, 597 ,236," 1,111 ",450, 52 , 104 ,8, 667 ,322, 791 ,274,7,8, (2),MGM,external,no_fee,12,1,0,0,1," 10,667 ",1,0,0,0,0,0, 418 , 418 ,1121,0, -   ,1,0.034315,0, -   , -   ,0, -   ,0
571315,2,42,1,1," 4,106 ",132, 467 ,44," 3,639 ",88, 414 ," 1,586 ",64," 2,454 ",28," 1,118 ",58,15,75, 22 ,Unreferred,external,full_fee,41,1,0,0,1," 62,200 ",0,2,0,0,0,0," 1,208 "," 1,167 ",1258,0, -   ,2,0.002008,0.0162," 1,709 "," 7,742 ",5, -   ,0
571316,2,39,1,1," 11,171 ",1924, 495 ,228," 10,676 ",1696," 1,001 "," 5,701 ",1116," 4,544 ",676," 2,472 ",532,15,1079, 128 ,Affiliates,spillover,full_fee,16,1,0,0,1," 45,867 ",1,2,1,0,0,0.003," 3,306 "," 3,290 ",1228,1, 408 ,1,0.092118,0," 1,957 ", -   ,0, 535 ,3
571317,1,42,1,0," 3,373 ",1062, 744 ,480," 2,629 ",582, 80 ," 1,745 ",108," 1,713 ",102," 1,256 ",592,0,0, (1),Partner,external,no_fee,15,1,0,0,0," 37,333 ",0,0,0,0,0,0, 954 , 818 ,1163,0, -   ,1,0.000962,0, -   , -   ,0, -   ,0
571318,2,37,0,0," 2,556 ",318, 868 ,96," 1,688 ",222, 636 , 689 ,72, 595 ,34, 740 ,160,11,37, 102 ,MGM,external,no_fee,14,1,0,0,0," 43,067 ",1,0,0,0,0,0.015, 676 , 674 ,1167,0, -   ,2,0.33311,0.1107," 3,148 "," 2,765 ",3, -   ,0
571319,1,39,0,0, 58 ,8, 59 ,4, (1),4, (1), (51),4, -   ,0, 30 ,6,3,3, 28 ,Unreferred,external,no_fee,12,1,0,0,0," 8,400 ",0,0,0,0,0,0.005, 167 , 167 ,967,0, -   ,1,0.155128,0, -   , -   ,0, -   ,0
571320,1,36,1,1," 3,627 ",416, 750 ,142," 2,877 ",274, 208 , 302 ,40," 1,350 ",34," 1,431 ",190,7,7, (10),Unreferred,external,full_fee,5,1,0,0,1," 21,333 ",1,0,0,0,0,0, 947 , 947 ,1293,0, -   ,1,0.151712,0, -   , -   ,0, -   ,0
571321,1,38,1,1," 6,604 ",274, 587 ,64," 6,017 ",210," 1,517 "," 4,463 ",320," 1,361 ",10," 1,955 ",80,3,3, (147),Paid Search,external,full_fee,3,1,0,0,0," 11,000 ",1,0,0,0,0,0," 4,702 "," 4,516 ",1044,0, -   ,1,0.07067,0, -   , -   ,0, -   ,0
571322,1,35,1,0," 5,270 ",646," 2,209 ",368," 3,062 ",278, 241 ," 2,216 ",288, 142 ,12," 2,782 ",450,4,4, (6),Affiliates,external,no_fee,56,1,0,0,0," 41,200 ",1,0,0,0,0,0," 1,404 "," 1,390 ",1372,0, -   ,1,0.000331,0, -   , -   ,0, -   ,0
571323,1,30,0,1," 1,031 ",102, 302 ,8, 729 ,94, 352 , 556 ,164, 409 ,76, 500 ,16,4,4, 86 ,MGM,external,reduced_fee,16,1,0,0,0, -   ,0,0,0,0,0,0.719, 479 , 479 ,814,1, 168 ,0,0,0.0706, 373 , 894 ,2, -   ,0
571324,1,41,1,0, 155 ,106, 89 ,46, 66 ,60, -   , -   ,0, 33 ,42, 108 ,52,3,3, 0 ,MGM,external,no_fee,2,0,0,0,0," 6,667 ",0,0,0,0,0,0.004, -   , -   ,1010,0, -   ,1,0.0006,0, -   , -   ,0, -   ,0
571325,2,32,1,0," 6,794 ",1062," 1,142 ",290," 5,653 ",772," 1,052 "," 2,150 ",272," 3,157 ",282, 883 ,286,9,173, 52 ,E-Mails,others,no_fee,24,1,0,0,1," 118,667 ",0,0,0,0,0,0," 1,608 "," 1,608 ",1376,0, -   ,2,0.116468,0, -   , -   ,0, -   ,0
571326,1,41,1,1," 4,183 ",678, 526 ,186," 3,657 ",492, 331 ," 2,458 ",212, 225 ,14," 1,557 ",254,9,23, (93),MGM,spillover,full_fee,9,1,0,0,1," 58,667 ",1,1,0,0,0,0," 1,336 "," 1,336 ",1296,0, 502 ,1,0.084042,0, -   , -   ,0, -   ,0
571327,1,38,0,0," 1,401 ",102, 278 ,46," 1,122 ",56, 33 , 117 ,20, 130 ,18," 1,192 ",60,4,4, (4),Unreferred,external,no_fee,38,1,0,0,1," 12,000 ",1,0,0,0,0,0, 510 , 465 ,1350,0, -   ,1,0.051346,0, -   , -   ,0, -   ,0
571328,1,34,0,0," 4,721 ",244, 552 ,66," 4,169 ",178, 147 ," 3,987 ",284, 69 ,24, 734 ,122,0,0, (53),Affiliates,external,reduced_fee,3,1,0,0,1," 20,000 ",1,3,0,0,0,0," 2,751 "," 2,751 ",1293,0, -   ,1,0.015992,0, -   , -   ,0, -   ,0
571329,1,42,0,0, 349 ,40, 305 ,38, 44 ,2, -   , 44 ,4, -   ,0, 187 ,26,4,8, (20),MGM,external,full_fee,1,0,0,0,0," 5,333 ",0,0,0,0,0,0.001, -   , -   ,1051,0, -   ,1,0.022108,0, -   , -   ,0, -   ,0
571330,1,79,0,0," 2,622 ",34," 2,090 ",8, 532 ,26, -   , -   ,0, 353 ,8, 122 ,10,4,4, (20),PDB (Personalized),external,no_fee,97,1,0,0,1," 25,333 ",1,1,0,0,0,0," 1,611 "," 1,611 ",1376,0, -   ,1,0.006923,0, 905 , -   ,0, 14 ,4
571331,2,42,1,0," 6,442 ",752," 1,879 ",162," 4,563 ",590, 827 ," 2,535 ",176," 2,139 ",294," 3,334 ",214,5,7, 41 ,Unreferred,spillover,no_fee,48,1,1,0,1," 100,000 ",1,0,0,0,0,0," 1,174 "," 1,091 ",1270,0, -   ,2,0.331217,0, -   , -   ,0, -   ,0
571332,1,42,1,0," 6,806 ",206, 19 ,6," 6,788 ",200," 5,923 "," 1,055 ",44," 5,038 ",98, 688 ,48,9,53, 129 ,MGM,spillover,reduced_fee,10,1,0,0,0," 86,000 ",0,2,2,0,0,0," 4,021 "," 3,988 ",1213,0, 98 ,1,0.145492,0," 2,741 ", -   ,0, 28 ,2
571333,1,34,1,0," 3,294 ",820, 776 ,218," 2,519 ",602, 403 , 751 ,144," 1,194 ",124," 1,081 ",256,9,67, (21),Unreferred,external,no_fee,7,1,0,0,1," 40,000 ",1,0,0,0,0,0, 607 , 606 ,1152,0, -   ,1,0.064021,0," 4,137 ", -   ,0, -   ,0
571334,1,45,1,1," 3,408 ",72, 238 ,18," 3,170 ",54, 29 ," 1,286 ",72, 85 ,4, 856 ,36,4,5, (98),MGM,external,full_fee,5,1,0,0,1," 26,667 ",1,0,0,0,0,0," 1,525 "," 1,525 ",1182,0, -   ,1,0.015406,0.1321," 6,104 "," 1,113 ",2, -   ,0
571335,1,31,0,0," 3,437 ",334," 1,506 ",140," 1,931 ",194, 123 ," 1,826 ",228, 630 ,70," 1,898 ",154,4,4, 1 ,MGM,spillover,no_fee,19,1,0,0,1," 52,000 ",1,0,0,0,0,0, 679 , 667 ,1350,0, -   ,1,0.01668,0, -   , -   ,0, -   ,0
571336,1,59,1,1, 262 ,22, 152 ,14, 110 ,8, -   , -   ,0, -   ,0, 234 ,18,4,4, 71 ,MGM,external,full_fee,3,1,0,0,1," 3,000 ",1,0,0,0,0,0.008, 81 , 81 ,540,0, -   ,1,0.007666,0, -   , -   ,0, -   ,0
571337,1,50,0,1," 2,724 ",358," 1,151 ",84," 1,572 ",274, 196 ," 1,080 ",228, 63 ,4," 1,219 ",118,9,78, 83 ,,,full_fee,13,1,0,0,0, -   ,1,3,1,0,0,0," 1,681 "," 1,681 ",1376,1, 578 ,0,0,0," 32,458 ", -   ,0," 8,074 ",4
571338,2,31,0,0," 2,596 ",516, 330 ,108," 2,266 ",408, 168 ," 1,555 ",684, 984 ,16, 855 ,130,5,5, (30),Unreferred,external,no_fee,15,1,0,0,1," 57,000 ",1,1,0,0,0,0, 720 , 718 ,1331,0, -   ,2,0.020755,0," 5,108 ", -   ,0, 323 ,2
571339,1,31,1,0, 674 ,194, 194 ,66, 480 ,128, 104 , 25 ,12, 46 ,30, 280 ,68,0,0, 10 ,MGM,external,reduced_fee,2,1,0,0,0," 6,667 ",1,0,0,0,0,0.004, -   , -   ,1006,0, -   ,1,0.176674,0, -   , -   ,0, -   ,0
571340,1,41,0,0, 62 ,32, 62 ,32, -   ,0, -   , -   ,0, -   ,0, 60 ,30,3,3, 0 ,Partner,external,no_fee,1,0,0,0,0, 667 ,0,0,0,0,0,0.078, -   , -   ,736,0, -   ,1,0.04895,0, -   , -   ,0, -   ,0
571341,2,39,1,0," 8,151 ",710," 2,476 ",408," 5,676 ",302, 397 ," 1,505 ",304," 2,036 ",18," 3,114 ",490,0,0, (35),Partner,external,no_fee,75,1,0,1,1," 90,800 ",1,0,0,0,0,0," 3,592 "," 2,158 ",1376,0, -   ,2,0.098799,0," 2,403 ", -   ,0, 148 ,2
571342,2,56,1,1," 12,748 ",278," 8,247 ",136," 4,502 ",142, 611 ," 4,526 ",280," 2,202 ",22," 9,921 ",218,15,29, 11 ,Affiliates,external,reduced_fee,17,1,0,0,0," 22,000 ",1,0,0,0,0,0.008," 3,741 "," 3,670 ",1106,1, 750 ,1,0,0.03," 7,393 "," 9,529 ",3, 87 ,2
571343,1,46,1,0," 2,298 ",262," 1,174 ",188," 1,124 ",74," 1,056 ", 689 ,36, 595 ,14, 944 ,176,0,0, 48 ,Direct,external,reduced_fee,7,1,0,0,1," 24,667 ",0,0,0,0,0,0.022, 736 , 736 ,1350,0, -   ,1,0.371201,0," 2,591 ", -   ,0, 33 ,2
571344,1,34,1,0," 1,404 ",296, 314 ,126," 1,089 ",170, 67 , 358 ,48, 331 ,22, 515 ,140,3,3, (27),MGM,external,no_fee,4,1,0,0,1," 13,333 ",1,0,0,0,0,0, 494 , 494 ,1190,0, -   ,1,0.00121,0, -   , -   ,0, -   ,0
571345,1,46,0,0," 1,262 ",16, 380 ,4, 882 ,12, 181 ," 1,262 ",32, 668 ,6, 503 ,8,0,0, (44),Partner,external,no_fee,3,1,0,0,0," 10,000 ",0,0,0,0,0,0.054, 146 , 146 ,897,0, -   ,1,0.401044,0, -   , -   ,0, -   ,0
571346,1,35,1,0, 187 ,48, 66 ,26, 122 ,22, -   , 11 ,4, -   ,0, 115 ,28,0,0, 0 ,Unreferred,external,no_fee,1,0,0,0,0," 8,000 ",0,0,0,0,0,0.004, -   , -   ,940,0, -   ,1,0.008066,0, -   , -   ,0, -   ,0
571347,2,47,1,0," 3,365 ",222," 1,429 ",126," 1,936 ",96, 217 , 541 ,60, 72 ,6," 2,611 ",126,7,7, 18 ,Partnerships - Other,spillover,no_fee,68,1,0,0,0," 76,533 ",0,0,0,0,0,0," 1,353 "," 1,352 ",1331,0, -   ,2,0.157833,0, -   , -   ,0, -   ,0
571348,1,33,0,0, 942 ,4, 13 ,2, 929 ,2, -   , 929 ,4, 929 ,2, -   ,0,0,0, (32),MGM,external,no_fee,1,0,0,0,0," 3,333 ",0,0,0,0,0,0.01, -   , -   ,952,0, -   ,1,0.0048,0, -   , -   ,0, -   ,0
571349,3,53,0,1," 1,201 ",198, 242 ,60, 959 ,138, 57 , 655 ,40, 122 ,62, 435 ,84,21,234, (36),Unreferred,external,full_fee,65,1,0,0,1," 64,800 ",1,5,2,0,0,0.001, 526 , 410 ,1289,1, 107 ,2,-0.000308,0.0359," 5,971 "," 2,394 ",2, -   ,3
571350,1,46,1,0," 10,087 ",346, 815 ,68," 9,272 ",278, 380 ," 3,947 ",260, 840 ,96," 3,232 ",142,0,0, 202 ,In House,others,no_fee,61,1,0,0,0," 120,000 ",0,1,0,0,0,0," 3,333 "," 3,333 ",1331,0, -   ,1,0.078651,0.4412," 2,397 ", 143 ,2, -   ,0
571351,2,34,1,1," 8,691 ",724, 503 ,112," 8,188 ",612," 1,356 "," 2,411 ",628," 1,687 ",88," 1,247 ",174,9,19," 1,119 ",Partner,spillover,full_fee,48,1,1,0,0," 111,600 ",1,1,1,0,0,0.004," 4,917 "," 4,729 ",1137,1, 302 ,1,0.516555,0.2391," 1,088 "," 1,635 ",2, -   ,0
571352,2,37,1,1," 6,106 ",966," 1,653 ",226," 4,453 ",740," 1,023 "," 3,400 ",488, 889 ,318," 3,469 ",396,5,7, 99 ,In House,others,full_fee,10,1,0,0,1," 54,400 ",1,1,1,1,0,0," 1,530 "," 1,290 ",963,1, 15 ,1,-0.005375,0, -   , -   ,0, -   ,0
571353,1,86,1,0," 1,953 ",320," 1,170 ",224, 783 ,96, 133 , 510 ,128, 203 ,10," 1,040 ",224,9,17, (9),MGM,external,no_fee,17,1,0,0,1," 30,000 ",0,0,0,0,0,0, 627 , 562 ,1274,0, -   ,1,0.121541,0," 5,001 ", -   ,0, 427 ,2
571354,1,58,1,1, 496 ,90, 235 ,62, 261 ,28, 74 , 88 ,20, -   ,0, 345 ,78,4,4, (1),Affiliates,external,full_fee,2,1,0,0,0," 10,667 ",0,0,0,0,0,0.001, -   , -   ,1094,0, -   ,1,0.048078,0, -   , -   ,0, -   ,0
571355,1,40,1,0," 3,471 ",524, 410 ,82," 3,061 ",442, 350 ," 2,201 ",352, 841 ,176," 1,060 ",158,9,31, (8),MGM,spillover,reduced_fee,9,1,0,0,1," 56,000 ",0,0,0,0,0,0, 964 , 953 ,1372,0, -   ,1,0.08798,0," 11,113 ", -   ,0, 89 ,2
571356,1,30,0,0, 475 ,66, 93 ,18, 382 ,48, -   , 45 ,4, 92 ,10, 206 ,24,0,0, (5),MGM,external,no_fee,2,1,0,0,0," 10,000 ",0,0,0,0,0,0.001, -   , -   ,1071,0, -   ,1,0.048081,0, -   , -   ,0, -   ,0
571357,1,44,0,0," 5,586 ",540, 479 ,108," 5,107 ",432," 2,234 "," 3,228 ",292," 3,647 ",212," 1,251 ",166,9,19, 402 ,Unreferred,external,no_fee,69,1,1,0,0," 36,000 ",1,0,0,0,0,0.029," 5,249 "," 5,249 ",955,0, -   ,1,0.976754,0, -   , -   ,0, -   ,0
571358,1,38,1,0," 7,992 ",560," 1,068 ",94," 6,924 ",466," 2,708 "," 6,302 ",448," 3,496 ",128," 2,426 ",214,6,6, 61 ,Partner,external,no_fee,9,1,0,0,1," 22,667 ",1,0,0,0,0,0," 2,418 "," 1,875 ",1137,0, -   ,1,0.062255,0, 152 , -   ,0, -   ,0
571359,1,59,1,1," 2,365 ",112," 1,005 ",84," 1,360 ",28, 717 , 399 ,20, 765 ,8," 1,191 ",82,4,5, (69),Paid Search,external,full_fee,2,1,0,0,0," 12,000 ",0,0,0,0,0,0, 63 , -   ,1191,0, -   ,1,0.108674,0, -   , -   ,0, -   ,0
571360,1,30,0,0, 200 ,64, 29 ,18, 171 ,46, 54 , 98 ,28, 91 ,16, 41 ,22,9,11, (1),Unreferred,external,no_fee,32,1,0,0,1," 8,800 ",0,0,0,0,0,0, 518 , 518 ,1266,0, -   ,1,0,0, 233 , -   ,0, 76 ,2
571361,1,35,1,0," 1,122 ",522, 502 ,388, 619 ,134, 89 , 403 ,132, 147 ,16, 694 ,418,5,6, (3),MGM,external,no_fee,24,1,0,0,1," 36,000 ",1,0,0,0,0,0, 423 , 423 ,1266,0, -   ,1,0.007344,0, -   , -   ,0, -   ,0
571362,1,33,1,0," 3,603 ",804, 687 ,244," 2,915 ",560, 380 ," 1,852 ",340," 1,036 ",246, 783 ,280,0,0, (6),MGM,spillover,full_fee,9,1,0,0,1," 33,600 ",1,1,0,0,0,0, 671 , 662 ,1274,0, -   ,1,0.093498,0," 1,205 ", -   ,0, -   ,2
571363,1,52,1,1," 22,731 ",592," 12,324 ",220," 10,408 ",372," 4,892 "," 9,694 ",244," 2,378 ",102," 16,501 ",286,9,61, 204 ,Unreferred,external,full_fee,14,1,0,0,0," 83,600 ",0,0,0,0,0,0," 5,773 "," 5,590 ",1312,0, -   ,1,0.080263,0," 8,898 ", -   ,0, -   ,0
571364,1,30,1,0, 21 ,14, 7 ,10, 14 ,4, -   , -   ,0, -   ,0, 7 ,10,5,6, 0 ,In House,others,no_fee,12,0,0,0,0," 5,333 ",1,4,1,0,0,0, 875 , 875 ,1194,0, 515 ,1,0.002436,0," 2,890 ", -   ,0, 2 ,3
571365,1,51,1,0," 8,192 ",440," 3,021 ",214," 5,171 ",226, 809 ," 5,044 ",324," 1,049 ",12," 5,858 ",340,6,16, 19 ,Partner,external,no_fee,9,1,0,0,1," 60,000 ",1,0,0,0,0,0," 1,411 "," 1,411 ",950,0, -   ,1,0.240169,0, -   , -   ,0, -   ,0
571366,2,34,1,1," 5,012 ",748," 1,132 ",380," 3,880 ",368," 1,221 "," 2,472 ",328," 1,839 ",48," 1,541 ",438,0,0, (173),In House,others,full_fee,,,,,, -   ,,,,,,, -   , -   ,,, -   ,,,, -   , -   ,, -   ,
571367,1,36,1,1," 20,695 ",1212," 1,750 ",226," 18,946 ",986," 1,251 "," 15,780 ",840," 11,111 ",306," 4,784 ",510,8,10, (6),Unreferred,spillover,full_fee,54,1,0,0,1," 61,067 ",0,0,0,0,0,0," 6,375 "," 6,141 ",1372,0, -   ,1,0.28976,0," 8,773 ", -   ,0, 940 ,3
571368,3,45,1,0," 23,684 ",568," 8,250 ",398," 15,435 ",170, 451 ," 3,649 ",236, 687 ,16," 21,705 ",436,0,0, 105 ,Unreferred,spillover,no_fee,83,1,0,0,0," 65,000 ",1,2,0,0,0,0," 8,365 "," 8,289 ",1289,0, -   ,3,0.331538,0," 9,496 ", -   ,0, -   ,0
571369,1,48,0,0, 850 ,106, 44 ,8, 806 ,98, 409 , 487 ,100, 167 ,18, 80 ,42,6,12, (4),Affiliates,external,full_fee,92,1,0,0,1," 54,400 ",1,0,0,0,0,0, 618 , 530 ,1228,0, -   ,1,0.017191,0, -   , -   ,0, -   ,0
571370,1,37,1,1," 5,653 ",902," 1,375 ",268," 4,278 ",634, 667 ," 2,740 ",436," 1,004 ",214," 1,971 ",290,9,453, 50 ,Unreferred,external,full_fee,54,1,0,0,1," 110,000 ",1,1,1,0,0,0," 3,013 "," 2,990 ",1277,0, -   ,1,0.057752,0, -   , -   ,0, -   ,0
571371,1,55,1,0," 16,087 ",1018," 3,865 ",298," 12,223 ",720, 942 ," 8,962 ",1040," 1,778 ",58," 5,706 ",570,7,10, (84),Partner,external,full_fee,58,1,0,0,0," 52,000 ",0,0,0,0,0,0," 5,907 "," 5,387 ",1315,0, -   ,1,0.237578,0, -   , -   ,0, -   ,0
571372,2,32,0,0," 3,182 ",566," 1,125 ",198," 2,057 ",368, 165 ," 1,065 ",244, 420 ,48," 1,255 ",200,15,39, 1 ,Unreferred,external,no_fee,52,1,0,0,1," 37,867 ",0,0,0,0,0,0, 990 , 666 ,1258,0, -   ,2,0.062299,0," 1,727 ", -   ,0, 155 ,2
571373,1,33,1,1," 2,425 ",802, 635 ,252," 1,790 ",550, 242 , 724 ,172, 431 ,256," 1,011 ",316,4,4, 14 ,Unreferred,external,full_fee,25,1,0,0,1," 48,000 ",1,0,0,0,0,0, 502 , 502 ,1255,0, -   ,1,0.080727,0," 2,193 ", -   ,0, 164 ,2
571374,1,60,0,0," 8,617 ",452, 906 ,106," 7,711 ",346," 3,207 ", 958 ,96," 3,184 ",222, 872 ,102,0,0, 92 ,Paid Search,external,no_fee,13,1,0,0,1," 30,000 ",0,0,0,0,0,0," 3,053 "," 3,053 ",1285,0, -   ,1,0.329272,0, 278 , -   ,0, -   ,2
571375,1,35,1,1," 3,341 ",418," 1,392 ",278," 1,949 ",140, 100 , 713 ,48, 305 ,36," 1,777 ",258,5,6, 72 ,Unreferred,spillover,full_fee,21,1,1,0,0," 17,067 ",0,3,0,0,0,0.032," 1,344 "," 1,344 ",956,0, -   ,1,0.297426,0.0517," 1,274 "," 2,538 ",2, 80 ,2
571376,1,31,1,0," 1,923 ",72, 13 ,6," 1,910 ",66, 487 , 735 ,52, 626 ,4, 948 ,44,0,0, (17),Direct,external,reduced_fee,5,1,0,0,1," 4,000 ",0,0,0,0,0,0.004, 574 , 574 ,1137,0, -   ,1,0.797126,0, -   , -   ,0, -   ,0
571377,1,34,0,0," 1,015 ",202, 157 ,44, 858 ,158, 140 , 250 ,72, 37 ,14, 408 ,74,4,4, (30),MGM,external,no_fee,3,1,0,0,1," 20,000 ",1,0,0,0,0,0, 143 , 135 ,1346,0, -   ,1,0.061736,0, -   , -   ,0, -   ,0
571378,1,34,1,0," 1,178 ",144, 241 ,52, 937 ,92, 111 , 755 ,88, 608 ,32, 90 ,44,4,4, (57),MGM,external,no_fee,3,1,0,0,0," 4,400 ",0,1,0,0,0,0.005, 152 , 139 ,853,0, -   ,1,0.399681,0, -   , -   ,0, -   ,0
571379,1,39,1,0, 972 ,220, 251 ,60, 721 ,160, 198 , 336 ,124, 327 ,44, 287 ,74,5,29, 15 ,MGM,external,reduced_fee,2,1,0,0,0," 2,000 ",1,0,0,0,0,0.007, 306 , 305 ,804,0, -   ,1,0.0062,0, -   , -   ,0, -   ,0
571380,1,39,0,0, 769 ,80, 607 ,68, 162 ,12, -   , -   ,0, -   ,0, 395 ,44,3,3, (37),MGM,external,no_fee,2,1,0,0,0," 5,333 ",0,0,0,0,0,0.05, -   , -   ,809,0, -   ,1,0.23297,0, -   , -   ,0, -   ,0
571381,2,64,0,0, 54 ,10, 11 ,4, 43 ,6, -   , -   ,0, 35 ,2, 5 ,2,5,5, (4),Unreferred,spillover,no_fee,132,1,0,0,0," 68,400 ",0,0,0,0,0,0, 250 , 250 ,1308,0, -   ,2,-0.000979,0, -   , -   ,0, -   ,0
571382,1,55,0,1," 5,048 ",110, -   ,0," 5,048 ",110," 1,579 "," 4,368 ",100," 5,088 ",68, 314 ,22,9,32, 80 ,Partner,external,full_fee,88,1,0,0,1," 71,200 ",0,0,0,0,0,0," 2,688 "," 1,887 ",1277,0, -   ,1,0.008291,0, -   , -   ,0, -   ,0
571383,1,32,1,0," 3,576 ",654, 875 ,236," 2,701 ",418, 191 , 975 ,320, 650 ,124," 1,296 ",310,4,4, 2 ,Unreferred,external,no_fee,43,1,0,0,1," 37,467 ",0,0,0,0,0,0, 575 , 564 ,1350,0, -   ,1,0.074713,0, -   , -   ,0, -   ,0
571384,1,29,0,0, 767 ,54, 57 ,16, 710 ,38, 648 , 641 ,4, 11 ,8, 705 ,22,0,0, 18 ,MGM,external,reduced_fee,2,1,0,0,0," 13,333 ",0,0,0,0,0,0.004, -   , -   ,1018,0, -   ,1,0.084124,0, -   , -   ,0, -   ,0
571385,1,46,1,1," 44,816 ",1606," 6,912 ",340," 37,907 ",1266," 12,208 "," 18,276 ",1284," 14,445 ",332," 16,132 ",692,9,39, 101 ,,,full_fee,146,1,0,0,0," 109,200 ",0,1,0,0,0,0," 11,227 "," 11,175 ",1159,0, -   ,1,0.028148,0, -   , -   ,0, -   ,0
571386,1,43,0,1," 6,200 ",348," 1,061 ",122," 5,139 ",226, 785 ," 4,309 ",252, 797 ,20," 4,603 ",234,9,26, 80 ,Unreferred,external,full_fee,63,1,0,0,1," 87,200 ",0,0,0,0,0,0," 1,499 "," 1,499 ",1350,0, -   ,1,0.060508,0, 814 , -   ,0, 814 ,2
571387,1,44,,0, -   ,0, -   ,0, -   ,0, -   , -   ,0, -   ,0, -   ,0,9,21, (0),Affiliates,external,no_fee,79,1,0,0,0," 8,400 ",1,0,0,0,0,0, 693 , 687 ,1331,0, 283 ,1,0,0.1812," 1,317 ", 155 ,2, -   ,0
571388,2,55,0,1," 9,159 ",336, 305 ,28," 8,854 ",308, 375 ," 6,953 ",500," 4,413 ",26," 2,828 ",138,15,81, (31),Unreferred,external,full_fee,50,1,0,0,1," 92,000 ",0,0,0,0,0,0," 1,812 "," 1,812 ",1285,0, -   ,2,0.05721,0," 5,597 ", -   ,0, 98 ,2
571389,2,35,1,0," 3,718 ",230, 88 ,12," 3,630 ",218, 617 ," 2,937 ",296," 1,381 ",72," 1,237 ",72,5,5, 58 ,Search,external,no_fee,43,1,0,0,1," 69,600 ",0,0,0,0,0,0, 896 , 813 ,1350,0, -   ,2,0,0, -   , -   ,0, -   ,0
571390,1,59,0,1," 7,960 ",788," 2,684 ",244," 5,276 ",544, 383 ," 3,711 ",812," 2,571 ",116," 2,669 ",314,0,0, 17 ,MGM,spillover,full_fee,17,1,0,0,1," 36,000 ",1,0,0,0,0,0," 1,679 "," 1,666 ",1281,0, -   ,1,0.243892,0, -   , -   ,0, -   ,0
571391,1,31,1,1," 4,290 ",486," 1,990 ",312," 2,300 ",174, 197 ," 1,336 ",232, 491 ,34," 2,979 ",364,4,4, 52 ,Partner,external,full_fee,31,1,0,0,1," 50,400 ",0,0,0,0,0,0," 1,411 "," 1,411 ",1369,0, -   ,1,0.059761,0," 1,793 ", -   ,0, 44 ,2
571392,2,69,0,1," 7,538 ",660," 2,976 ",220," 4,563 ",440, 702 ," 3,269 ",508," 1,300 ",34," 1,986 ",234,9,43, 93 ,Unreferred,external,full_fee,30,1,0,0,1," 73,600 ",1,0,0,0,0,0," 4,710 "," 4,710 ",1376,1, 989 ,1,0.00274,0, 368 , -   ,0, -   ,3
